mes,c_llm,c_llm_mediana,ep,ep_iid,n_itens,n_dias,d2_media,taxa_d2_sem_sinal,d3_media,taxa_d3_sem_sinal,c_llm_trunc
2012-10,0.5079185520361991,0.5,0.004790832777835896,0.005168176467926897,221,25,3.4615384615384617,0.5294117647058824,3.027027027027027,0.665158371040724,0.5079185520361991
2012-11,0.5079113924050633,0.5,0.0065182107597524215,0.006115113455473724,158,22,3.360655737704918,0.6139240506329114,3.0,0.6962025316455697,0.5079113924050633
2012-12,0.5,0.5,0.005264700462247494,0.006092850894828269,184,22,3.5,0.5217391304347826,3.125,0.6521739130434783,0.5
2013-01,0.49127906976744184,0.5,0.012148878612051318,0.007403026011016492,172,24,3.253012048192771,0.5174418604651163,3.0491803278688523,0.6453488372093024,0.49127906976744184
2013-02,0.5111464968152867,0.5,0.008654585859565574,0.008252491174798156,157,21,3.4133333333333336,0.5222929936305732,2.9464285714285716,0.643312101910828,0.5111464968152867
2013-03,0.48936170212765956,0.5,0.005415610058389245,0.005276309455308656,188,25,3.269230769230769,0.44680851063829785,3.1125,0.574468085106383,0.48936170212765956
2013-04,0.5172413793103449,0.5,0.007124908229678653,0.006877626082876823,203,26,3.45,0.5073891625615764,3.0789473684210527,0.625615763546798,0.5172413793103449
2013-05,0.5144736842105263,0.5,0.008792191963085741,0.006511770651316398,190,26,3.533333333333333,0.6052631578947368,3.0416666666666665,0.7473684210526316,0.5144736842105263
2013-06,0.5073221757322176,0.5,0.009044914783358662,0.005816912571308932,239,24,3.4578313253012047,0.6527196652719666,3.0454545454545454,0.7238493723849372,0.5073221757322176
2013-07,0.5,0.5,0.0033109786134854135,0.005269960889807948,178,27,3.3333333333333335,0.6460674157303371,3.0545454545454547,0.6910112359550562,0.5
2013-08,0.5072815533980582,0.5,0.004674667567203242,0.00541674915791786,206,27,3.2815533980582523,0.5,3.036144578313253,0.5970873786407767,0.5072815533980582
2013-09,0.5098039215686274,0.5,0.00480901704560057,0.004865604578288881,204,27,3.5064935064935066,0.625,3.135593220338983,0.7132352941176471,0.5098039215686274
2013-10,0.5186567164179104,0.5,0.006019582816319948,0.006583821028789069,201,26,3.4680851063829787,0.5323383084577115,3.056338028169014,0.6467661691542289,0.5186567164179104
2013-11,0.49506578947368424,0.5,0.004918472572879054,0.0054582581472295555,152,22,3.1923076923076925,0.6578947368421053,3.0238095238095237,0.7236842105263158,0.49506578947368424
2013-12,0.5,0.5,0.013581282701329208,0.004866194452441242,206,22,3.5074626865671643,0.6747572815533981,3.125,0.7281553398058253,0.5
2014-01,0.49047619047619045,0.5,0.014049841661431204,0.005808817828907391,210,27,3.2626262626262625,0.5285714285714286,3.049382716049383,0.6142857142857143,0.49047619047619045
2014-02,0.5108695652173914,0.5,0.0044380748653474675,0.007213242770557522,138,22,3.4482758620689653,0.5797101449275363,3.075,0.7101449275362319,0.5108695652173914
