mes,c_llm,c_llm_mediana,ep,ep_iid,n_itens,n_dias,d2_media,taxa_d2_sem_sinal,d3_media,taxa_d3_sem_sinal,c_llm_trunc
2013-05,0.4986910994764398,0.5,0.0035521215764143113,0.0034708278215114336,191,26,3.0727272727272728,0.7120418848167539,2.869565217391304,0.8795811518324608,0.4986910994764398
2013-06,0.49793388429752067,0.5,0.0071472276822173875,0.004138656230924509,242,24,3.183333333333333,0.7520661157024794,2.96,0.8966942148760331,0.49793388429752067
2013-07,0.4957865168539326,0.5,0.003052142762074988,0.0037129424945578447,178,27,3.0930232558139537,0.7584269662921348,2.85,0.8876404494382022,0.4957865168539326
2013-08,0.5036057692307693,0.5,0.006628519691209027,0.004659523501335456,208,27,3.1153846153846154,0.625,2.769230769230769,0.75,0.5036057692307693
2013-09,0.5036231884057971,0.5,0.003604534674504108,0.0036231884057970946,207,27,3.1132075471698113,0.7439613526570048,2.8157894736842106,0.8164251207729468,0.5036231884057971
2013-10,0.5099502487562189,0.5,0.0047632209172993,0.004937669960517224,201,26,3.211267605633803,0.6467661691542289,2.914285714285714,0.8258706467661692,0.5099502487562189
2013-11,0.4917763157894737,0.5,0.004104667851455261,0.003628704611364397,152,22,3.1538461538461537,0.8289473684210527,2.7058823529411766,0.8881578947368421,0.4917763157894737
2013-12,0.4939613526570048,0.5,0.009034059402634692,0.003993192494195641,207,22,3.25,0.748792270531401,3.0,0.855072463768116,0.4939613526570048
2014-01,0.49410377358490565,0.5,0.010381578162988722,0.0056542962281893065,212,27,3.033333333333333,0.7169811320754716,2.7142857142857144,0.8679245283018868,0.49410377358490565
2014-02,0.49645390070921985,0.5,0.005204068173586595,0.005023888982082132,141,22,3.0238095238095237,0.7021276595744681,2.8421052631578947,0.8652482269503546,0.49645390070921985
2014-03,0.4791666666666667,0.5,0.008445869938673021,0.006281486345370082,144,24,2.980769230769231,0.6388888888888888,2.8260869565217392,0.8402777777777778,0.4791666666666667
2014-04,0.4875,0.5,0.012653136874353894,0.006859420121173995,140,24,2.9836065573770494,0.5642857142857143,2.8333333333333335,0.7857142857142857,0.4875
2014-05,0.4964788732394366,0.5,0.012287777071573096,0.004988446528964336,142,25,2.975,0.7183098591549296,2.4545454545454546,0.8450704225352113,0.4964788732394366
2014-06,0.4914383561643836,0.5,0.005382485617587134,0.00615420615793489,146,25,2.979591836734694,0.6643835616438356,2.8095238095238093,0.8561643835616438,0.4914383561643836
2014-07,0.5,0.5,0.00942810687172767,0.007490829347637497,164,27,3.1333333333333333,0.6341463414634146,2.7241379310344827,0.823170731707317,0.5
2014-08,0.49728260869565216,0.5,0.02349361074734494,0.012517644747537396,92,25,3.075,0.5652173913043478,2.740740740740741,0.7065217391304348,0.49728260869565216
2014-09,0.48255813953488375,0.5,0.01084230811615902,0.005629336259022411,129,26,2.6595744680851063,0.6356589147286822,2.5714285714285716,0.7286821705426356,0.48255813953488375
2014-10,0.49731182795698925,0.5,0.0069674141836483456,0.008103381492128537,93,23,3.275,0.5698924731182796,2.7857142857142856,0.6989247311827957,0.49731182795698925
2014-11,0.48742138364779874,0.5,0.01093774451651459,0.004886429167050463,159,24,3.0657894736842106,0.5220125786163522,2.7413793103448274,0.6352201257861635,0.48742138364779874
2014-12,0.5067264573991032,0.5,0.0025074366907345967,0.003145787428619743,223,21,3.05,0.4618834080717489,2.9726027397260273,0.672645739910314,0.5067264573991032
2015-01,0.4822404371584699,0.5,0.005515424275774216,0.00513956253074296,183,21,2.963636363636364,0.6994535519125683,2.6875,0.912568306010929,0.4822404371584699
2015-02,0.4722222222222222,0.5,0.008829057968838415,0.009217550672166222,90,21,3.074074074074074,0.7074074074074074,2.9375,0.8296296296296295,0.4722222222222222
2015-03,0.4693396226415094,0.5,0.009078489682651347,0.006770842424993977,212,26,3.0,0.4858490566037736,2.8732394366197185,0.6650943396226415,0.4693396226415094
2015-04,0.484375,0.5,0.007561017225313105,0.006043589611621622,128,25,3.15,0.6875,2.68,0.8046875,0.484375
2015-05,0.49615384615384617,0.5,0.01479948280711271,0.007215388556831436,130,25,3.265625,0.5076923076923077,2.92,0.8076923076923077,0.49615384615384617
2015-06,0.46794871794871795,0.5,0.017513633491390294,0.007902022760711197,195,27,3.292134831460674,0.5435897435897435,2.84375,0.8358974358974359,0.46794871794871795
2015-07,0.4917218543046358,0.5,0.01363532806433101,0.005467755442163741,151,28,3.0980392156862746,0.6622516556291391,2.6774193548387095,0.7947019867549668,0.4917218543046358
2015-08,0.49047619047619045,0.5,0.009493738421447896,0.008902587342953664,105,25,2.967741935483871,0.7047619047619048,2.761904761904762,0.8,0.49047619047619045
2015-09,0.46172248803827753,0.5,0.012114593485315177,0.006468227150126837,209,27,2.981132075471698,0.49282296650717705,2.7733333333333334,0.6411483253588517,0.46172248803827753
2015-10,0.4468503937007874,0.5,0.010318241385823332,0.009932720044206674,127,24,2.6964285714285716,0.5590551181102362,3.0625,0.7480314960629921,0.4468503937007874
2015-11,0.4594017094017094,0.5,0.008678178778844057,0.00908282175433833,117,21,3.0,0.6324786324786325,2.6666666666666665,0.7435897435897436,0.4594017094017094
2015-12,0.42660550458715596,0.5,0.014488556735472074,0.013157105125436644,109,21,2.74468085106383,0.5688073394495413,2.814814814814815,0.7522935779816514,0.42660550458715596
2016-01,0.4433497536945813,0.5,0.013275992996123576,0.007960484651859823,203,21,2.443548387096774,0.3891625615763547,2.2,0.6305418719211823,0.4433497536945813
2016-02,0.45652173913043476,0.5,0.016822970283117026,0.009396790498593674,115,24,2.6595744680851063,0.591304347826087,2.0357142857142856,0.7565217391304347,0.45652173913043476
